Source ID	Magnification	Lens Z	Source Z	Peak Apparent Magnitude	Peak Absolute Magnitude	
SDSSJ1543+2202	3.0	0.27	0.4	21.121660594681362	-20.562803136799157	
SDSSJ1550+2020	2.0	0.14	0.35	21.221422817938322	-20.122574989159954	
SDSSJ1553+3004	5.0	0.16	0.57	21.48659624780824	-21.117425010840048	
SDSSJ1607+2147	2.0	0.21	0.49	22.086013864136465	-20.122574989159954	
SDSSJ1633+1441	19.0	0.13	0.58	20.08285538729394	-22.566884002382075	
SDSSJ2309-0039	4.0	0.29	1.0	23.225087677223815	-20.875149978319907	
BELLSJ0830+5116	6.0	0.53	1.33	23.550961958958215	-21.31537812595911	
BELLSJ1159-0007	8.0	0.58	1.35	23.278689344314092	-21.62772496747986	
BELLSJ1221+3806	4.0	0.53	1.28	23.888278151994893	-20.875149978319907	
BELLSJ1318-0104	7.0	0.66	1.4	23.52128145540454	-21.482745100035643	
BELLSJ1337+3620	12.0	0.56	1.18	22.47691744034385	-22.067953115119064	
BELLSJ1349+3612	5.0	0.44	0.89	22.670290850402868	-21.117425010840048	
BELLSJ1542+1629	3.0	0.35	1.02	23.590601043728032	-20.562803136799157	
BELLSJ1601+2138	3.0	0.54	1.45	24.535359512558205	-20.562803136799157	
BELLSJ1631+1854	19.0	0.41	1.09	21.764804388830918	-22.566884002382075	
